season,level,fan,heat,light,fog,window,co2,o2,water
여름,1단계,on,off,C_L-9,off,on,on,off,on
여름,2단계,on,off,C_L-6,off,on,on,off,on
여름,3-1단계,on,off,C_L-7,off,on,on,off,on
여름,3-2단계,on,off,C_L-0,off,on,off,on,off
여름,4단계,on,off,C_L-5,off,on,on,off,on
여름,5단계,on,off,C_L-8,off,on,on,off,on
겨울,1단계,on,on,C_L-9,on,off,on,off,on
겨울,2단계,off,on,C_L-9,on,off,on,off,on
겨울,3-1단계,off,on,C_L-7,on,on,on,off,off
겨울,3-2단계,off,on,C_L-0,on,off,off,on,off
겨울,4단계,off,on,C_L-6,on,off,on,off,off
겨울,5단계,off,on,C_L-8,on,off,on,off,off
비,1단계,on,on,C_L-9,on,off,on,off,on
비,2단계,on,off,C_L-7,on,off,on,off,on
비,3-1단계,on,on,C_L-6,on,off,on,off,off
비,3-2단계,on,off,C_L-0,on,off,off,on,off
비,4단계,on,off,C_L-5,on,off,on,off,off
비,5단계,on,on,C_L-7,on,off,on,off,off
